miRNA	gene	support type	miR_disease_num	gene_disease_num	label	MISIM_value
hsa-let-7a	AGO1	TargetScan;miRTarBase;miRWalk	119	48	1	0.2984480564345896
hsa-let-7a	AGO4	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	119	3	1	0.0
hsa-let-7a	APOBEC3A	miRTarBase	119	68	1	0.2400706221921786
hsa-let-7a	ARG2	TargetScan;miRDB;miRTarBase;miRWalk	119	103	1	0.6839253882747802
hsa-let-7a	AURKA	miRTarBase;miRWalk	119	245	1	0.7695556072094393
hsa-let-7a	AURKB	miRDB;miRTarBase	119	161	1	0.7840598778454689
hsa-let-7a	BMP2	TargetScan;miRTarBase	119	428	1	0.7097155702185945
hsa-let-7a	BZW2	TargetScan;miRTarBase	119	20	1	0.1646296809752451
hsa-let-7a	CASP3	TargetScan;miRDB;miRTarBase	119	819	1	0.7591569066381241
hsa-let-7a	CCND2	TargetScan;miRDB;miRTarBase;miRWalk	119	241	1	0.8426969719445748
hsa-let-7a	CCNG1	miRTarBase;miRWalk	119	53	1	0.4235566292118132
hsa-let-7a	CCR7	TarBase;TargetScan;miRTarBase;miRWalk	119	320	1	0.7060511233213974
hsa-let-7a	CDC34	TargetScan;miRDB;miRTarBase;miRWalk	119	24	1	0.2232430774171122
hsa-let-7a	CDK6	TargetScan;miRTarBase;miRWalk	119	266	1	0.7335448795406189
hsa-let-7a	CDKN1A	TargetScan;miRDB;miRTarBase;miRWalk	119	490	1	0.7859773858475826
hsa-let-7a	CNTF	miRTarBase;miRWalk	119	114	1	0.4966960525885743
hsa-let-7a	DICER1	TargetScan;miRDB;miRTarBase	119	302	1	0.7300998239402737
hsa-let-7a	E2F2	TargetScan;miRDB;miRTarBase;miRWalk	119	75	1	0.4936564970190676
hsa-let-7a	EDN1	TargetScan;miRDB;miRTarBase;miRWalk	119	680	1	0.7367178772184295
hsa-let-7a	EGFR	miRTarBase;miRWalk	119	1394	1	0.7071356666073803
hsa-let-7a	EWSR1	miRTarBase	119	251	1	0.5920959727139763
hsa-let-7a	EZH2	miRTarBase	119	653	1	0.7692959662081317
hsa-let-7a	HAS2	TargetScan;miRDB;miRTarBase;miRWalk	119	85	1	0.6607368032795258
hsa-let-7a	HMGA1	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	119	206	1	0.7221409336172322
hsa-let-7a	HMGA2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	119	382	1	0.7628264181023549
hsa-let-7a	HRAS	miRTarBase	119	698	1	0.7089977614537862
hsa-let-7a	IGF2	miRTarBase;miRWalk	119	604	1	0.8308388199735462
hsa-let-7a	IGF2BP1	TargetScan;miRDB;miRTarBase;miRWalk	119	106	1	0.6184259806153383
