Disease Name,TreeNumber
"Abdomen, Acute",C23.888.592.612.054.200
"Abdomen, Acute",C23.888.821.030.249
Abdominal Injuries,C26.017
Abdominal Neoplasms,C04.588.033
Abetalipoproteinemia,C16.320.565.398.500.440.500
Abetalipoproteinemia,C18.452.584.500.875.440.500
Abetalipoproteinemia,C18.452.584.563.500.440.500
Abetalipoproteinemia,C18.452.648.398.500.440.500
Congenital Abnormalities,C16.131
"Abnormalities, Drug-Induced",C16.131.042
"Abnormalities, Multiple",C16.131.077
"Abnormalities, Radiation-Induced",C16.131.080
"Abnormalities, Radiation-Induced",C26.733.031
"Abortion, Spontaneous",C12.050.703.039
"Abortion, Habitual",C12.050.703.039.089
"Abortion, Incomplete",C12.050.703.039.093
"Abortion, Missed",C12.050.703.039.173
"Abortion, Septic",C01.674.173
"Abortion, Septic",C12.050.703.039.256
"Abortion, Septic",C12.050.703.700.173
"Abortion, Threatened",C12.050.703.090
"Abortion, Veterinary",C12.050.703.039.422
"Abortion, Veterinary",C22.021
Abruptio Placentae,C12.050.703.420.078
Abruptio Placentae,C12.050.703.590.132
Abscess,C01.830.025
Abscess,C23.550.470.756.100
Peritonsillar Abscess,C01.748.561.750.500
Peritonsillar Abscess,C01.830.025.675
Peritonsillar Abscess,C07.550.781.750.500
Peritonsillar Abscess,C08.730.561.750.500
Peritonsillar Abscess,C09.775.649.750.500
Acantholysis,C17.800.865.070
Acantholysis,C23.550.035
Acanthosis Nigricans,C17.800.621.430.530.100
Achlorhydria,C06.405.748.045
Achlorhydria,C18.452.076.087
Achondroplasia,C05.116.099.343.110
Achondroplasia,C05.116.099.708.017
Achondroplasia,C16.320.240.500
Acid-Base Imbalance,C18.452.076
Acidosis,C18.452.076.176
"Acidosis, Lactic",C18.452.076.176.180
"Acidosis, Renal Tubular",C12.050.351.968.419.815.093
"Acidosis, Renal Tubular",C12.200.777.419.815.093
"Acidosis, Renal Tubular",C12.950.419.815.093
"Acidosis, Renal Tubular",C16.320.831.093
"Acidosis, Renal Tubular",C18.452.076.176.210
"Acidosis, Respiratory",C08.618.846.093
"Acidosis, Respiratory",C18.452.076.176.310
Acinetobacter Infections,C01.150.252.400.560.022
Acne Vulgaris,C17.800.030.150
Acne Vulgaris,C17.800.794.111
Acne Keloid,C17.300.200.425.125
Acne Keloid,C17.800.030.030
Acne Keloid,C17.800.329.500.261
Vestibulocochlear Nerve Diseases,C09.218.807.800
Vestibulocochlear Nerve Diseases,C10.292.910
Acquired Immunodeficiency Syndrome,C01.221.250.875.040
Acquired Immunodeficiency Syndrome,C01.221.812.640.400.040
Acquired Immunodeficiency Syndrome,C01.778.640.400.040
Acquired Immunodeficiency Syndrome,C01.925.782.815.616.400.040
Acquired Immunodeficiency Syndrome,C01.925.813.400.040
Acquired Immunodeficiency Syndrome,C01.925.839.040
Acquired Immunodeficiency Syndrome,C12.100.937.640.400.040
Acquired Immunodeficiency Syndrome,C20.673.480.040
Acrocephalosyndactylia,C05.116.099.370.894.232.015
Acrocephalosyndactylia,C05.116.099.370.894.819.100
Acrocephalosyndactylia,C05.660.207.240.100
Acrocephalosyndactylia,C05.660.585.800.100
Acrocephalosyndactylia,C05.660.906.364.100
Acrocephalosyndactylia,C05.660.906.819.100
Acrocephalosyndactylia,C16.131.621.207.240.100
Acrocephalosyndactylia,C16.131.621.585.800.100
Acrocephalosyndactylia,C16.131.621.906.364.100
Acrocephalosyndactylia,C16.131.621.906.819.100
Acrodermatitis,C16.131.831.066
Acrodermatitis,C17.800.174.100
Acrodermatitis,C17.800.804.066
Acrodynia,C10.668.829.025
Acrodynia,C10.720.475.600.150
Acrodynia,C25.723.522.875.500.100
Acromegaly,C05.116.132.082
Acromegaly,C10.228.140.617.738.250.100
Acromegaly,C19.700.355.179
"ACTH Syndrome, Ectopic",C04.730.713.317
Actinobacillosis,C01.150.252.400.700.030.178
Actinobacillosis,C22.039
Actinobacillus Infections,C01.150.252.400.700.030
Actinomycetales Infections,C01.150.252.410.040
Actinomycosis,C01.150.252.410.040.137
"Actinomycosis, Cervicofacial",C01.150.252.410.040.137.316
"Actinomycosis, Cervicofacial",C01.150.252.819.110
"Actinomycosis, Cervicofacial",C01.800.720.110
"Actinomycosis, Cervicofacial",C17.800.838.765.110
Acute Disease,C23.550.291.125
Acute-Phase Reaction,C23.550.470.099
Adams-Stokes Syndrome,C14.280.067.558.137
Adams-Stokes Syndrome,C14.280.123.500.137
Adams-Stokes Syndrome,C23.550.073.425.025
Addison Disease,C19.053.500.263
Addison Disease,C20.111.163
Adenocarcinoma,C04.557.470.200.025
"Adenocarcinoma, Papillary",C04.557.470.200.025.085
Adenofibroma,C04.557.450.565.590.595.050
Adenofibroma,C04.557.470.625.050
Adenolymphoma,C04.557.435.075
Adenoma,C04.557.470.035
"Adenoma, Basophil",C04.557.465.625.650.075
"Adenoma, Basophil",C04.557.470.035.075
"Adenoma, Basophil",C04.557.580.625.650.075
"Adenoma, Chromophobe",C04.557.465.625.650.095
"Adenoma, Chromophobe",C04.557.470.035.095
"Adenoma, Chromophobe",C04.557.580.625.650.095
"Adenoma, Acidophil",C04.557.465.625.650.025
"Adenoma, Acidophil",C04.557.470.035.025
"Adenoma, Acidophil",C04.557.580.625.650.025
Adenoviridae Infections,C01.925.256.076
"Adenovirus Infections, Human",C01.925.256.076.045
Tissue Adhesions,C23.550.355.274.840
Adie Syndrome,C10.177.045
Adie Syndrome,C10.292.562.700.250
Adie Syndrome,C11.590.436.200
Adie Syndrome,C11.710.800.180
Adiposis Dolorosa,C17.800.463.249
Adiposis Dolorosa,C18.452.584.718.500
Adnexal Diseases,C12.050.351.500.056
Adnexal Diseases,C12.100.250.056
Pelvic Inflammatory Disease,C01.635.500
Pelvic Inflammatory Disease,C12.050.351.500.056.750
Pelvic Inflammatory Disease,C12.100.250.056.750
Adrenal Cortex Diseases,C19.053.098
Adrenal Cortex Neoplasms,C04.588.322.078.265
Adrenal Cortex Neoplasms,C19.053.098.265
Adrenal Cortex Neoplasms,C19.053.347.500
Adrenal Cortex Neoplasms,C19.344.078.265
Adrenal Gland Diseases,C19.053
Adrenocortical Hyperfunction,C19.053.800
Adrenal Insufficiency,C19.053.500
Adrenal Gland Neoplasms,C04.588.322.078
Adrenal Gland Neoplasms,C19.053.347
Adrenal Gland Neoplasms,C19.344.078
"Adrenal Hyperplasia, Congenital",C12.050.351.875.253.090.500
"Adrenal Hyperplasia, Congenital",C12.200.706.316.090.500
"Adrenal Hyperplasia, Congenital",C12.800.316.090.500
"Adrenal Hyperplasia, Congenital",C16.131.939.316.129.500
"Adrenal Hyperplasia, Congenital",C16.320.033
"Adrenal Hyperplasia, Congenital",C16.320.565.925.249
"Adrenal Hyperplasia, Congenital",C18.452.648.925.249
"Adrenal Hyperplasia, Congenital",C19.053.440
"Adrenal Hyperplasia, Congenital",C19.391.119.090.500
Adrenal Rest Tumor,C04.557.470.035.232
Adrenoleukodystrophy,C10.228.140.163.100.084
Adrenoleukodystrophy,C10.228.140.163.100.362.250
Adrenoleukodystrophy,C10.228.140.695.625.250
Adrenoleukodystrophy,C10.314.400.250
Adrenoleukodystrophy,C10.597.606.360.455.124
Adrenoleukodystrophy,C16.320.322.500.124
Adrenoleukodystrophy,C16.320.400.525.124
Adrenoleukodystrophy,C16.320.565.189.084
Adrenoleukodystrophy,C16.320.565.189.362.250
Adrenoleukodystrophy,C16.320.565.663.100
Adrenoleukodystrophy,C18.452.132.100.084
Adrenoleukodystrophy,C18.452.132.100.362.250
Adrenoleukodystrophy,C18.452.648.189.084
Adrenoleukodystrophy,C18.452.648.189.362.250
Adrenoleukodystrophy,C18.452.648.663.100
Adrenoleukodystrophy,C19.053.500.270
Aerophagy,C23.888.821.061
Afferent Loop Syndrome,C06.405.469.531.099
Afferent Loop Syndrome,C23.550.767.050
Afibrinogenemia,C15.378.100.100.056
Afibrinogenemia,C15.378.100.141.072
Afibrinogenemia,C15.378.463.067
Afibrinogenemia,C16.320.099.056
African Horse Sickness,C01.920.313.030
African Horse Sickness,C01.925.081.030
African Horse Sickness,C01.925.782.791.142
African Horse Sickness,C22.488.088
African Swine Fever,C01.920.930.125
African Swine Fever,C01.925.081.078
African Swine Fever,C01.925.256.142
African Swine Fever,C22.905.072
