RefSeq IDs	Approved symbol
NM_130786	A1BG
NR_015380	A1BG-AS1
NM_014576	A1CF
	A1S9T
NM_000014	A2M
NR_026971	A2M-AS1
NM_144670	A2ML1
	A2ML1-AS1
	A2ML1-AS2
	A2MP1
	A2MR
	A2MRAP
NM_001080438	A3GALT2
NM_017436	A4GALT
NM_016161	A4GNT
	A12M1
	A12M2
	A12M3
	A12M4
	AA
	AAAS
	AABT
	AAC1
	AAC2
NM_023928	AACS
NR_024035	AACSP1
	AACT
NM_001086	AADAC
NM_207365	AADACL2
	AADACL2-AS1
NM_001103170	AADACL3
NM_001013630	AADACL4
	AADACP1
NM_016228	AADAT
NM_024666	AAGAB
NM_014911	AAK1
NM_024684	AAMDC
NM_001087	AAMP
NM_001088	AANAT
NM_015511	AAR2
NM_001025357	AARD
NM_001605	AARS1
	AARS1P1
NM_020745	AARS2
NM_001261434	AARSD1
	AARSD1P1
NM_181806	AASDH
	AASDH-DT
NM_015423	AASDHPPT
	AASDHPPT-AS1
NM_005763	AASS
NR_026961	AATBC
NM_012138	AATF
NM_004920	AATK
	AAVS1
	ABALON
NM_020686	ABAT
	ABC1
	ABC2
	ABC3
	ABC7
	ABC50
NM_005502	ABCA1
NM_001606	ABCA2
NM_001089	ABCA3
NG_022511	ABCA3P1
NM_000350	ABCA4
NM_018672	ABCA5
NM_080284	ABCA6
NM_019112	ABCA7
NM_007168	ABCA8
NM_172386	ABCA9
	ABCA9-AS1
NM_080282	ABCA10
NR_002451.2	ABCA11P
NM_173076	ABCA12
NM_152701	ABCA13
NR_026675	ABCA15P
NR_003574	ABCA17P
NM_000927	ABCB1
	ABCB2
	ABCB3
NM_000443	ABCB4
NM_178559	ABCB5
NM_005689	ABCB6
NM_004299	ABCB7
NM_007188	ABCB8
NM_019624	ABCB9
NM_012089	ABCB10
NG_005041	ABCB10P1
	ABCB10P2
NG_022122	ABCB10P3
NG_022102	ABCB10P4
NM_003742	ABCB11
NM_004996	ABCC1
NM_000392	ABCC2
NM_020038	ABCC3
NM_005845	ABCC4
NM_005688	ABCC5
	ABCC5-AS1
	ABCC6
NR_003569	ABCC6P1
NR_023387	ABCC6P2
	ABCC7
NM_000352	ABCC8
NM_005691	ABCC9
NM_033450	ABCC10
NM_032583	ABCC11
NM_033226	ABCC12
	ABCC13
NM_000033	ABCD1
	ABCD1P1
	ABCD1P2
	ABCD1P3
	ABCD1P4
	ABCD1P5
NM_005164	ABCD2
NM_002858	ABCD3
NM_005050	ABCD4
NM_002940	ABCE1
	ABCE1P1
	ABCE1P2
	ABCE1P3
	ABCF1
	ABCF1-DT
NM_005692	ABCF2
	ABCF2-H2BK1
	ABCF2P1
	ABCF2P2
NM_018358	ABCF3
NM_207174	ABCG1
NM_004827	ABCG2
NM_022169	ABCG4
NM_022436	ABCG5
NM_022437	ABCG8
	ABCR
NM_032604	ABHD1
	ABHD2
	ABHD3
	ABHD4
NM_016006	ABHD5
NM_020676	ABHD6
NM_024527	ABHD8
NM_018394	ABHD10
	ABHD11
	ABHD11-AS2
NM_015600	ABHD12
	ABHD12B
NM_032859	ABHD13
NM_015407	ABHD14A
	ABHD14A-ACY1
NM_032750	ABHD14B
NM_198147	ABHD15
	ABHD15-AS1
	ABHD16A
	ABHD16B
	ABHD16B-AS1
NM_031213	ABHD17A
NG_011738	ABHD17AP1
	ABHD17AP2
XR_041784	ABHD17AP3
	ABHD17AP4
	ABHD17AP5
	ABHD17AP6
	ABHD17AP7
	ABHD17AP8
	ABHD17AP9
NM_016014	ABHD17B
NM_021214	ABHD17C
NM_001039717	ABHD18
NM_005470	ABI1
NG_002531	ABI1P1
NM_005759	ABI2
NM_016428	ABI3
	ABI3BP
NM_017832	ABITRAM
NG_011392	ABITRAMP1
NM_007313	ABL1
NM_005158	ABL2
	ABLIM1
NM_001130083	ABLIM2
	ABLIM2-DT
NM_014945	ABLIM3
NM_020469	ABO
	ABR
	ABR-AS1
NM_139166	ABRA
NM_021243	ABRACL
NM_139076	ABRAXAS1
NG_025605	ABRAXAS1P1
NG_022380	ABRAXAS1P2
NM_032182	ABRAXAS2
	ABT1
NG_025142	ABT1P1
NM_172027	ABTB1
NM_145804	ABTB2
NM_152322	ABTB3
NM_001607	ACAA1
NM_006111	ACAA2
	ACAA2P1
NM_198836	ACACA
NM_001093	ACACB
	ACAD
NM_014384	ACAD8
NM_014049	ACAD9
	ACAD9-DT
NM_025247	ACAD10
NM_032169	ACAD11
NM_001608	ACADL
	ACADM
NM_000017	ACADS
NM_001609	ACADSB
NM_000018	ACADVL
NM_001135	ACAN
NM_014716	ACAP1
NM_012287	ACAP2
	ACAP2-IT1
NM_030649	ACAP3
NM_000019	ACAT1
NM_005891	ACAT2
NM_022735	ACBD3
NR_146443	ACBD3-AS1
NM_024722	ACBD4
NM_145698	ACBD5
NM_032360	ACBD6
	ACBD7
	ACBD7P1
	ACBP
	ACC
	ACCN
	ACCPN
NM_032592	ACCS
NM_001031854	ACCSL
NG_025783	ACCSLP1
NM_022914	ACD
NM_000789	ACE
	ACE2
NR_126564	ACE2-DT
	ACE3P
NM_133492	ACER1
NM_001010887	ACER2
NG_030142	ACER2P1
NM_018367	ACER3
	ACER3-AS1
	ACH
	ACHAP
NM_015831	ACHE
	ACHM1
	ACHM2
	ACHM3
	ACHRD
	ACHRG
NM_014977	ACIN1
NM_002036	ACKR1
NM_001296	ACKR2
NM_020311	ACKR3
NM_016557	ACKR4
XM_208346	ACKR4P1
NM_007264	ACKR5
	ACLS
NM_001096	ACLY
	ACMG
	ACMSD
	ACNATP
NM_002197	ACO1
NM_001098	ACO2
NG_022871	ACO2P1
NG_029282	ACO2P2
NM_001258406	ACOD1
NM_001037161	ACOT1
NM_006821	ACOT2
NM_152331	ACOT4
	ACOT4P1
NM_001037162	ACOT6
NM_007274	ACOT7
NM_183386	ACOT8
NM_012332	ACOT9
NM_015547	ACOT11
NM_130767	ACOT12
	ACOT12-DT
NM_018473	ACOT13
	ACOX1
NM_003500	ACOX2
	ACOX3
NM_018308	ACOXL
NR_122074	ACOXL-AS1
NM_004300	ACP1
NM_001610	ACP2
NM_001099	ACP3
NM_033068	ACP4
	ACP5
NM_016361	ACP6
NM_001004318	ACP7
NM_001097	ACR
NM_032489	ACRBP
NG_021518	ACRP1
NM_001612	ACRV1
	ACS3
NM_015162	ACSBG1
NM_030924	ACSBG2
NM_025149	ACSF2
NM_174917	ACSF3
